id,gene,biotype,logFC,logCPM,F,PValue,FDR,mC_1,mC_2,mC_3,mdlc_1,mdlc_2,mdlc_3,Prp19_1,Prp19_2,Prp19_3
FBgn0037150,CG7133,protein_coding,1.29590624,3.13486122,72.39341911,8.53E-07,3.28E-06,5.476538068,4.390523663,5.553000604,10.42006185,12.26008736,15.27703108,8.6425423,7.34268295,9.333557722
FBgn0025724,beta'COP,protein_coding,1.29615006,6.773664165,272.0935548,2.40E-10,4.48E-09,65.75472528,59.4301283,62.87757391,141.079887,150.2096214,170.7353258,111.377279,109.2104889,113.7018788
FBgn0034264,Dlish,protein_coding,1.297970385,3.491225507,174.8176484,4.06E-09,3.65E-08,6.044744005,5.54962191,5.891598202,14.15176444,15.30828691,13.53660982,13.93958435,12.682816,13.85674339
FBgn0031104,jb,protein_coding,1.298122668,2.716333385,105.137827,9.41E-08,4.83E-07,4.448931588,3.723164066,4.012381534,9.03502608,10.19430974,10.79061183,5.552601101,4.815655701,6.006982021
FBgn0004598,Fur2,protein_coding,1.300342734,5.015084621,281.3124552,1.94E-10,3.87E-09,18.00124765,19.49392506,20.75603274,44.98136892,48.40783121,50.06611831,30.87617935,29.10849312,28.83830014
FBgn0033741,CG8545,protein_coding,1.302904628,6.035368114,190.0443663,2.39E-09,2.43E-08,43.36499349,39.97132743,40.44548306,103.4399253,115.6162574,86.24754255,55.57247629,53.99732754,50.87985568
FBgn0263113,Cc2d2a,protein_coding,1.305056791,6.797094919,273.3731314,2.33E-10,4.39E-09,57.61849985,64.32995271,54.85281084,143.9934855,136.1192685,156.8119557,126.2694016,126.9473594,133.7091974
FBgn0031286,CG3862,protein_coding,1.306621761,3.579738617,124.8254132,3.31E-08,1.96E-07,8.837415735,7.077524144,6.805811716,18.21357918,18.82078175,19.24132395,9.688011126,9.893550079,8.352337551
FBgn0002905,DNApol-theta,protein_coding,1.30872707,6.28141703,381.5341796,2.66E-11,1.08E-09,51.48912943,50.59639469,52.39797826,121.316216,132.8893882,128.5011032,51.1118093,55.90451791,55.06799056
FBgn0283442,vas,protein_coding,1.309479971,4.694524361,159.9488225,7.10E-09,5.57E-08,18.19467945,16.63130363,15.42312058,34.87706652,43.3140408,46.48858571,19.37602225,19.620221,18.45172565
FBgn0051814,DIP-kappa,protein_coding,1.309846141,2.306129513,62.17068678,2.03E-06,6.98E-06,2.986103538,2.037202979,1.913076428,5.848726176,5.34948927,6.091474418,7.45767763,6.651326438,6.126643017
FBgn0031197,CG17601,protein_coding,1.311524619,3.34270497,84.93725742,3.36E-07,1.45E-06,5.935938613,5.584746099,7.212128833,12.40791111,15.86678704,18.27442325,8.712240222,8.653876334,8.160879957
FBgn0085302,CG34273,protein_coding,1.313550032,1.143756254,51.57626607,5.72E-06,1.75E-05,1.293575217,1.563026424,1.235881232,3.85370056,3.425018916,2.862026076,1.486888998,1.883350497,1.579525153
FBgn0039622,eIF4E6,protein_coding,1.313686547,4.438962618,163.5923446,6.16E-09,5.00E-08,14.44693817,12.10028321,14.13644971,30.39184706,37.21091279,33.57079235,19.0043,16.13959856,17.54230208
FBgn0028988,Spn42Dd,protein_coding,1.314017938,2.094296743,26.53824851,0.000296503,0.000611946,3.203714323,2.406006967,2.742640542,5.518614024,4.992856652,10.42318956,2.462659903,2.979984963,3.254779103
FBgn0024698,Cpsf160,protein_coding,1.317587573,6.343287527,287.1546381,1.70E-10,3.53E-09,47.58422481,43.9930471,47.99620949,109.0518319,111.827877,127.1474422,77.82934598,79.05304111,85.86873104
FBgn0033615,CG7741,protein_coding,1.319487342,2.562402268,91.12143573,2.22E-07,1.01E-06,4.267589267,2.915307712,3.724573576,8.683384875,9.339737242,9.262908718,5.064715649,4.601096784,4.666778861
FBgn0267823,Gmer,protein_coding,1.320748906,4.378540817,250.6971016,4.07E-10,6.42E-09,13.28634732,12.27590416,12.7989892,29.72444641,32.41319474,33.74483447,18.30732079,16.59255628,17.47050548
FBgn0032016,Mettl14,protein_coding,1.321702724,3.552392669,187.6582955,2.59E-09,2.57E-08,7.060260998,6.726282251,6.856601355,16.4051387,17.18565484,18.04236708,10.52438619,11.84842021,10.45837109
