"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1623555_at",-0.410004263907058,6.84095467615157,-2.61439634666131,0.0275077107654616,0.0453051303056424,-5.33145995139427
"1623556_at",-0.118195066034112,5.66597407189284,-1.04860334762765,0.321040107103137,0.37816844488897,-7.58792334794367
"1623557_at",-0.336770985291826,11.8472968774725,-3.88764468566711,0.00351475959861467,0.0074393258781489,-3.20911807168118
"1623558_at",-0.159001297370734,4.79284157866543,-1.35278710885949,0.208327797368643,0.260059835050094,-7.23875005600379
"1623559_s_at",0.333611672543234,5.67477526912761,2.11688170568992,0.0626026888774314,0.0920867866815492,-6.14082921799784
"1623560_at",1.92826671395872,6.35502480597587,18.4796200945134,1.3226519596331e-08,1.59256035190385e-07,10.2950685124431
"1623561_at",-0.0931505219639428,5.30060380962444,-1.05785515136991,0.317019293329119,0.374106453746791,-7.5782906870738
"1623562_at",-0.128517858460031,6.39752747595465,-1.34754809921723,0.209946120801444,0.261804111161269,-7.24529071377171
"1623563_at",-0.0324543158127231,5.69978109101014,-0.412744130197248,0.689216682733019,0.731643677317884,-8.06966697169398
"1623564_at",0.771284606334565,8.24146846473646,7.51725860543841,3.15747248016933e-05,0.000109138096742968,1.85418695766992
"1623565_at",0.457117561321678,6.57553269430532,2.89067766966335,0.0174146644272085,0.0304520407611678,-4.86943513292124
"1623566_at",0.708521675119015,6.25662154758176,7.53354486193582,3.10294368093093e-05,0.000107449275792076,1.87311690323608
"1623567_at",-0.00729150530486944,4.65152404952508,-0.0816591927944832,0.936661067282838,0.947864189830433,-8.15944704444043
"1623568_at",-0.02752819587411,4.88596087828744,-0.349299652027693,0.734700961935131,0.772064003106491,-8.09602064498593
"1623569_at",-0.209711195946087,7.16427912923133,-1.48633960285769,0.170525413678684,0.219462015485428,-7.06649731666438
"1623570_at",-0.120086599533197,4.86001892507708,-0.867628382952079,0.407587837529468,0.465649831631845,-7.76244272322154
"1623571_a_at",1.03941178492245,7.68410621982314,12.0915176463406,5.73703746320122e-07,3.3018018221254e-06,6.21676606082683
"1623572_at",2.3565893311179,7.21388426370603,26.6254988978577,4.81430553909662e-10,1.55884646329811e-08,13.8059441256728
"1623573_s_at",0.535122462123185,8.74178269429981,4.82329768120002,0.000877332333439936,0.00216952014396577,-1.73552775193104
"1623574_at",3.38744602396034,8.7246112322015,36.3618332622582,2.78052948843479e-11,3.5736018068647e-09,16.7149271122915
"1623575_at",0.0360487164860999,4.70595482961912,0.403472328402444,0.695787749187108,0.737751450296188,-8.07378312769282
"1623576_at",-0.196165149228921,5.85362981418865,-2.26868264478481,0.0487691719853911,0.0741494863591762,-5.89860705317055
"1623577_at",-0.427062199281314,5.45499205365629,-4.67083434562513,0.00109059915731689,0.00262998285144036,-1.9679848254858
"1623578_at",-0.370264702093374,5.70328468504267,-4.03816919019364,0.00278821206250985,0.00605918988747698,-2.96491217779682
"1623579_at",0.235417028238148,9.43364272746869,1.82516326172619,0.100441047929394,0.138692804397659,-6.58838938643609
"1623580_at",0.187836186697224,13.3848841448132,2.05057743499312,0.0697716832855789,0.101245468927512,-6.24484356823117
"1623581_at",-0.172079383002878,4.7594408742059,-1.65356289397771,0.131761531416423,0.17531202916344,-6.83717553377555
"1623582_at",-1.89424037424028,7.6170604251223,-13.7914477826606,1.80565654977418e-07,1.27404329602831e-06,7.47264240650452
"1623583_at",1.39299019350777,7.42757159279729,11.9312656266673,6.44524440579912e-07,3.62571302994078e-06,6.09015775048754
"1623584_at",0.204526849933806,6.62182027279932,1.3832375345916,0.199129695907852,0.250474945035216,-7.20040073684983
"1623585_at",-0.265016108187901,5.46048947587558,-2.96256276593365,0.015470162021365,0.0274754484705191,-4.74867849733856
"1623586_a_at",-0.343171322420611,5.77046526720763,-3.05172868096964,0.0133632293248484,0.0242145446184651,-4.598803477415
"1623587_at",-1.47292144005539,11.0557658090007,-17.9391560988046,1.72781786981881e-08,1.9582085747169e-07,10.008068099311
"1623588_at",1.98057101482431,8.31819138634167,18.6686250103305,1.20676339314725e-08,1.48897004081554e-07,10.3934515485375
"1623589_a_at",-0.605463861348932,6.18213088726384,-4.69487947613049,0.0010535715580539,0.00255075219318313,-1.93111465945576
"1623590_s_at",1.31613697170885,9.87875799550492,13.3251319931907,2.44630524496806e-07,1.63593426261943e-06,7.14306960834052
"1623591_a_at",0.923859790205594,9.95644352775992,7.11121376290149,4.92045870146578e-05,0.000161812481884747,1.37238534871874
"1623592_at",-0.0398495102619316,5.52713394681819,-0.477290418287788,0.644254022921951,0.6905662712752,-8.03852825038464
"1623593_at",-0.114470229170251,4.66925975089171,-1.21651430551214,0.253980082846546,0.308751156517495,-7.40313936201585
"1623594_at",-0.621346319817802,8.73113001796877,-7.70141505317065,2.59715119320992e-05,9.14042886048548e-05,2.06650954259295
"1623595_at",2.65496412597114,8.08073144009253,31.7750107679247,9.56642527550216e-11,6.61689386209186e-09,15.4716815674162
"1623596_at",-0.562811312563437,6.71467796899972,-5.54705335808726,0.000326870651857373,0.000889426072361944,-0.675832963075483
"1623597_s_at",-0.0150826971787188,7.73604518293059,-0.182800258458996,0.858906901504247,0.881178130098441,-8.14466820939111
"1623598_at",-0.443500721676263,6.50109880178669,-4.62510913555546,0.00116490997858093,0.00278789921884906,-2.03831290559111
"1623599_at",0.128969738544562,7.56749634152207,0.958853222687544,0.36207342883015,0.419951996523194,-7.67784751327936
"1623600_at",-0.199644422666079,5.66252944933145,-2.30520145578409,0.0459148672496006,0.0705085940534568,-5.83959577406709
"1623601_at",-0.515729373756949,6.17982915058491,-4.68438661325101,0.00106956154038636,0.00258451234392481,-1.94719456077032
"1623602_a_at",0.54855335413301,6.45945862518628,4.34739683304056,0.00174975940870621,0.0040040377099493,-2.47136511881307
"1623603_at",0.0102225036313368,3.92651429025627,0.121723454266413,0.905726914337416,0.921529848098068,-8.15494031468294
"1623604_at",-0.363295074934063,12.2688195520683,-4.40208581597649,0.00161362655192368,0.00372671830514959,-2.38529680884411
"1623605_a_at",-2.47742890037844,7.34248645420768,-24.8931802266356,8.88886159308734e-10,2.33650076161153e-08,13.1643758224884
"1623606_at",0.242241591225483,11.9906167837956,2.51045597538493,0.0326829186376727,0.0526007460337559,-5.50370455169083
"1623607_at",1.30951899235949,7.7823290330733,14.3197298146199,1.29444169961573e-07,9.70421641262549e-07,7.83358663828999
"1623608_at",-0.0425533295783644,4.0238405837871,-0.527780956165781,0.610102240272868,0.65963019325982,-8.01117916735311
"1623609_at",0.584136503803059,12.1523828014231,6.75964573460521,7.33418124819912e-05,0.000232126591542869,0.939397230635231
"1623610_at",-0.125826748706015,4.47613008360926,-1.58678870018861,0.146180466922552,0.191684232278157,-6.93043132638068
"1623611_at",-0.380503826188961,5.28144205377415,-3.6473899437723,0.00511778150386564,0.0104113562753609,-3.60359444457173
"1623612_at",-1.1918662985592,11.1856720706914,-13.373746436707,2.36901282585692e-07,1.59220490445027e-06,7.17792726383438
"1623613_at",3.53019633550455,8.2897272786219,26.1344729297873,5.7050930254174e-10,1.71896538978872e-08,13.6287856919279
"1623614_at",-0.162080742270018,5.42442262239851,-1.59844506205124,0.143565744351998,0.188764949837594,-6.91430756938276
"1623615_at",0.763886890741039,6.20035508998389,6.32772392971427,0.000122212480719614,0.000365845985562807,0.38631277281244
"1623616_at",-0.256535185441678,3.9777773748893,-2.54646699162763,0.030788069356444,0.0499739200448207,-5.44416339292253
"1623617_at",-0.498889656065669,8.58755958726206,-4.89826992514379,0.000789280245434779,0.00197298200062332,-1.62238287534742
"1623618_at",-0.193446168846317,5.65762978743335,-1.72310320322557,0.118124370707498,0.159576097629803,-6.73786225978466
"1623619_at",-0.206744001671929,6.15071183943977,-2.1956044779823,0.0550110433667063,0.0822021046980854,-6.01587180198168
"1623620_a_at",-3.30521928277173,7.06133846867022,-16.7971741388528,3.11908137368473e-08,3.10220614286763e-07,9.37222331621972
"1623621_at",-0.0503406013687195,4.5477114647777,-0.508817504772333,0.62281919652543,0.671158777082502,-8.02175588916719
"1623622_a_at",-0.184087429707756,5.73376059204344,-2.29612361536883,0.0466087124212666,0.071425004095938,-5.85428892436556
"1623623_at",-0.50911044210708,6.40900623565548,-4.05503156087204,0.00271733121855598,0.00592690312510911,-2.93770938899245
"1623624_at",-1.60532090749905,5.34307890613307,-14.4947282047411,1.16219561567623e-07,8.88859213409847e-07,7.95037719654582
"1623625_at",-0.278885952905329,9.31245911765181,-3.40691223465523,0.00750685906314998,0.0146293051891844,-4.00319917085504
"1623626_a_at",-0.894547180669243,7.60539722690969,-9.77828564079912,3.57566686814951e-06,1.57595438337604e-05,4.22476130022387
