id,gene,logFC,logCPM,F,PValue,FDR,13__13_S13,14__14_S14,15__15_S15,Wyr_34_S2,Wyr_53_S5
ENSG00000203896,LIME1,1.879470346,3.840329282,57.32108551,0.000197269,0.008473978,2.873058592,2.770935639,2.775317148,4.654612151,4.667565776
ENSG00000176022,B3GALT6,1.880393169,5.224265284,40.84224384,0.000525335,0.010754628,4.090669554,4.33032982,4.104859465,6.33642895,5.692613007
ENSG00000262648,PHBP15,1.885140248,2.030370275,16.25211514,0.006140989,0.034314892,1.357245591,1.046685965,0.614616105,3.330293381,2.067772016
ENSG00000160957,RECQL4,1.886193512,6.422793775,52.80439146,0.000250653,0.008934822,5.397171701,5.402549199,5.308805685,7.511973706,6.934744284
ENSG00000133519,ZDHHC8P1,1.886950093,4.009428218,36.66197982,0.000722035,0.011923216,2.595383058,3.343170621,2.867243841,4.845331049,4.821078014
ENSG00000183458,PKD1P3,1.887475498,7.078583495,43.15970672,0.000477482,0.010485494,6.098620776,5.652247676,6.255372085,8.155965269,7.610046608
ENSG00000077942,FBLN1,1.888267303,5.797746518,55.40542673,0.000217886,0.008583849,4.482316286,4.835852809,4.884993959,6.714443941,6.533665183
ENSG00000160360,GPSM1,1.889146375,6.451612619,50.88198493,0.000279133,0.009013428,5.177371403,5.605113927,5.376069447,7.035388502,7.492098987
ENSG00000167992,VWCE,1.889377973,4.268597368,46.72739315,0.000356869,0.009550344,3.059005799,3.417807717,3.171262168,5.254751433,4.913613615
ENSG00000205746,PKD1P4,1.890438344,7.721493682,59.32832507,0.000183702,0.008176675,6.460134749,6.549484941,6.936844864,8.371329996,8.713871863
ENSG00000188833,ENTPD8,1.892083813,2.668122155,25.98150163,0.001897548,0.01820196,1.594573887,1.982476319,1.28215354,3.804660285,3.067511282
ENSG00000089820,ARHGAP4,1.892664468,5.386848697,31.04942246,0.001182158,0.014731632,3.909024255,4.417791657,4.588134281,6.523896881,5.825583151
ENSG00000129968,ABHD17A,1.893850405,6.617125873,48.99291113,0.000320296,0.009233605,5.319859589,5.707839744,5.620205396,7.699066973,7.145672284
ENSG00000073169,SELENOO,1.895046233,5.636530318,44.80392323,0.000402785,0.009951321,4.540272247,4.737289824,4.446299585,6.736284605,6.136574211
ENSG00000262188,LINC01978,1.896393845,2.991057141,35.00360731,0.000806994,0.012433763,2.042464478,1.7325145,2.081936465,4.087434129,3.467055653
ENSG00000196976,LAGE3,1.897443343,3.099774518,28.09149869,0.00154473,0.016638982,1.720239663,2.107999963,2.308723345,4.251455297,3.490136128
ENSG00000204580,DDR1,1.899839645,6.416548647,69.329101,0.00011251,0.007197676,5.342840087,5.21296506,5.493231667,7.324446439,7.170888303
